name,calories,sugar,added_sugar,fat,fiber,protein,sodium,cholesterol,saturated_fat,carbohydrates,vitamin_c,calcium,potassium,magnesium,iron,omega3,monounsaturated_fat,zinc,phosphorus,vitamin_a,vitamin_b6,vitamin_b12,vitamin_e,vitamin_k,choline,niacin,health_label
"Breadsticks cheese, thick cut, BBQ coated",490.32,2.06,0.1,30.12,4.86,7.33,478.51,6.85,10.74,47.48,0.83,35.45,433.86,23.9,1.67,4.41,7.13,1.23,80.94,0.0061,0.1693,0,4.746,0.0057,17.59,3.616,Unhealthy
"Chicken thigh skinless, cutlet, stir-fried",113.78,0.05,0,1.38,0,24.76,63.26,73.87,0.36,0.58,0.18,13.42,346.4,29.2,1.33,0.12,0.55,1.03,237.37,0.0172,0.3254,0.000594,0.152,0.0036,58.72,9.376,Healthy
"Turkey leg, whole, braised",113.12,0.01,0,2.76,0,22.05,58.43,71.06,0.91,0.02,0.14,6.89,309.66,25.43,0.52,0.35,1.13,1.81,155.8,0.0076,0.6519,0.000741,0.389,0.0046,86.59,6.159,Healthy
"Chocolate covered raisins, fun size, nut filled",532.56,44.04,40.91,28.96,1.5,4.39,97,2.93,11.64,63.59,1.94,77.57,61.92,23.51,2.79,0.64,8.55,1.71,107.49,0.0011,0.0078,0.000183,0.266,0.0001,7.57,0.94,Unhealthy
"Swiss chard, diced, braised",31.78,0.47,0,0.7,1.95,3.28,25.16,0,0.11,3.09,51.42,160.7,386.5,22.16,0.89,0.11,0.09,0.54,43.79,0.9223,0.2517,0,2.069,0.6533,11.91,1.195,Healthy
"Mozzarella part-skim, pasteurized, chilled",90.73,3.37,0.14,2.89,0,11.73,110.9,11.43,1.42,4.45,1.39,139.09,180.33,8.11,0.04,0.15,0.63,0.87,156.13,0.0738,0.0215,0.000577,0.075,0.0007,11.95,0.144,Healthy
"Donut chocolate, jumbo, with icing",377.54,22.14,19.35,16.46,0.89,5.17,332.84,66.45,5.63,52.18,0.43,25.79,111.09,6.49,2.15,1.3,5.62,0.49,58.53,0.0498,0.0348,0.000121,2.077,0.0091,14.12,2.514,Unhealthy
"Turkey breast, cubed, steamed",119.44,0.18,0,2.16,0,24.15,52.99,57.69,0.37,0.85,0.07,10.87,233.34,26.87,0.57,0.15,0.7,1.94,159.42,0.0052,0.537,0.00039,0.256,0.0035,77.55,7.578,Healthy
"Freekeh, cooked, steamed",163.35,1.74,0,2.55,3.69,7.75,5.69,0,0.33,27.35,0.35,40.65,282.2,54.04,2.81,0.21,0.63,1.48,243.36,0.001,0.4332,0,1.427,0.0011,16.89,4.706,Healthy
"Funnel cake, cornmeal coated, deep fried",371.56,0.67,0.05,18.48,2.23,10.61,336.92,54.67,5.05,40.7,8.32,20.66,476.32,30.48,0.64,1.54,4.8,0.53,123.21,0.01,0.1217,0.000149,2.9,0.0074,21.85,2.715,Unhealthy
"Tartar sauce, spreadable, flavored",790.42,5.78,4.52,73.82,1.45,4.56,1022.18,10.95,27.3,26.95,3.51,28.18,177.57,9.57,0.6,4.6,29.36,0.45,30.83,0.005,0.0522,2.80E-05,9.444,0.0381,18.56,0.475,Unhealthy
"Sports drink powder, powder, honey sweetened",264.81,56.82,54.02,1.69,0,1.07,11.84,0,0.81,61.33,1.48,14.45,45.27,0.62,0.19,0.1,0.48,0.02,21.7,0.0003,0.0082,0,0.069,0.0009,3.57,0.311,Unhealthy
"Romaine lettuce, mature, microwaved",38.61,1.38,0,0.81,3.23,2.95,65.62,0,0.14,4.88,27.84,172.29,234.86,69.26,3.45,0.13,0.08,0.73,65.48,0.1426,0.1749,0,1.986,0.6458,24.63,0.737,Healthy
"Breakfast sausage, chunk, processed",348.02,0.71,0.05,31.58,0,10.76,1271.38,95.72,11.69,5.19,8.66,34.14,184.78,16.33,0.64,1.03,11.01,1.51,182.81,0.0091,0.2918,0.00246,0.272,0.0002,65.32,3.294,Unhealthy
"Frosting vanilla, creamy, homestyle",330.96,6.01,5.39,26.32,0.49,2.87,853.45,28.08,5.43,20.65,0.45,59.61,152.1,12.05,0.63,2.58,5.5,0.2,65.41,0.0006,0.0942,6.00E-06,2.727,0.0203,17.32,0.141,Unhealthy
"Breadsticks cheese, crunchy, seasoned",573.79,3.89,0.08,36.83,2.11,5.25,481.19,3.06,12.79,55.33,4.87,27.84,491.64,39.25,0.94,5.39,10.39,1.15,89.47,0.0028,0.1502,0,2.735,0.0092,22.87,2.347,Unhealthy
"Toaster pastry, multi-pack, honey glazed",423.56,23.81,22.33,12.2,4.5,5.02,259.25,1.93,5.67,73.42,14.65,77.02,112.64,15.82,10.58,0.28,3.34,4.45,158.82,0.2914,0.6844,0.001715,3.434,0.0083,15.64,7.809,Unhealthy
"Sesame seeds, chopped, raw",514.93,1.14,0,42.49,9.14,22.85,0.82,0,5.68,10.28,1.63,182.71,615.45,103.11,4.77,4.04,12.49,5.49,456.23,0.0018,0.198,0,13.737,0.0031,41.51,6.6,Healthy
"Chips salt and vinegar, crunchy, BBQ coated",578.07,3.9,1.13,38.39,4.77,7.57,739.5,1.34,14.64,50.57,8.19,49.88,287.35,26,0.87,4.04,14.52,0.79,136.09,0.0023,0.2492,0,1.247,0.0083,27.89,1.725,Unhealthy
"Ice cream cookie dough, regular, sugar cone",287.16,23.95,19.62,16.2,1.23,3.69,102.04,51.18,8.67,31.65,0.63,114.18,118.56,19.13,0.2,0.76,4.22,0.36,111.36,0.0726,0.0699,0.000479,0.466,0.0019,29.27,0.188,Unhealthy
"Collard greens, chopped, microwaved",43.32,2.35,0,0.28,3.02,3.67,30.69,0,0.05,6.53,78.93,131.59,286.39,40.88,1.07,0.05,0.04,0.33,31.65,0.5381,0.2536,0,2.677,0.2991,23.53,0.79,Healthy
"Great Northern beans, dried, stewed",126.2,2.61,0,1.76,9.51,8.86,6.5,0,0.27,18.73,1.55,65.7,267.24,68.46,5.8,0.28,0.19,1.58,293.78,0.0014,0.2786,0,0.963,0.0072,20.86,1.11,Healthy
"Chicken liver, medallion, poached",177.14,0.05,0,6.14,0,29.95,53.66,89.93,1.05,0.52,0.22,8.24,302.09,22.76,1.4,0.49,1.81,2.39,156.56,0.009,0.7866,0.000646,0.301,0.0023,72.01,5.863,Healthy
"Turkey leg, medallion, roasted",173.27,0.11,0,5.63,0,29.89,59.55,76.47,1.46,0.76,0.06,9.58,252.75,21.76,1.07,0.55,1.63,1.75,191.12,0.0071,0.6052,0.000465,0.123,0.0014,63.33,14.53,Healthy
"Teff, dry, simmered",204.11,1.17,0,3.83,3.38,3.22,9.91,0,0.5,39.19,0.5,46.37,291.82,60.6,2.52,0.22,1.04,1.17,301.34,0.0001,0.2414,0,1.261,0.0032,14.79,3.947,Healthy
"Lamb's lettuce, diced, steamed",38.22,1.54,0,0.62,3.24,1.69,46.24,0,0.07,6.47,56.48,181.46,545.11,20.95,1.4,0.07,0.02,0.45,62.79,0.8194,0.2623,0,2.475,0.2541,19.45,1.131,Healthy
"Pop tart frosted, regular, plain sweetened",451.63,33.96,29.29,18.11,0.58,6.48,288.63,50.16,8.98,65.68,0.26,56,85.15,23.26,2.37,1.58,6.14,0.5,136.22,0.0431,0.0778,0.000127,2.454,0.0074,18.49,2.462,Unhealthy
"Pumpkin, cubed, microwaved",48.91,4.63,0,0.39,2.88,1.73,8.04,0,0.09,9.62,45.8,11.15,340.25,16.67,0.88,0.03,0.03,0.29,24.26,0.2281,0.0512,0,1.664,0.0793,7.64,1.011,Healthy
"Turkey tenderloin, boneless, roasted",146.58,0.03,0,4.54,0,26.35,49.35,85.69,0.78,0.08,0.03,12.66,244.6,24.42,0.68,0.24,1.14,2,208.64,0.0107,0.3813,0.00055,0.245,0.0013,70.72,13.14,Healthy
"Strawberry, segments, fresh",58.92,7.68,0,0.56,2.69,0.75,4.79,0,0.07,12.72,13.95,11.76,330.57,12.04,0.47,0.01,0.05,0.21,14.64,0.0482,0.1481,0,0.84,0.0096,5.2,0.133,Healthy
"Chocolate covered raisins, wrapped, milk chocolate",353.08,49.36,43.56,9.08,0.14,3.58,82.09,3.21,3.31,64.26,0.73,59.34,254.42,7.98,1.94,0.72,2.27,0.86,130.51,0.003,0.0177,0.00019,0.77,0.0004,16.98,0.917,Unhealthy
"Tuna albacore, pieces, steamed",191.45,0.01,0,13.33,0,17.82,91.74,77.97,3.09,0.05,0.62,47.33,428.27,33.56,1.39,4.61,2.03,0.36,294.55,0.0256,0.2599,0.006817,1.353,0.0007,48.19,3.877,Healthy
"Peach, whole, frozen unsweetened",100.91,15.02,0,0.71,1.6,1.23,1.25,0,0.1,22.4,44.53,5.46,81.83,15.94,0.44,0.09,0.03,0.17,24.57,0.0531,0.0468,0,0.173,0.0052,3.64,0.537,Healthy
"Chia seeds, chopped, lightly salted",647.66,3.95,0,51.42,4.52,22.84,2.66,0,2.58,23.38,0.97,110.04,794.2,318.54,5,11.39,18.16,3.42,663,0.0023,0.5749,0,27.786,0.0022,55.29,7.2,Healthy
"Jalapeno poppers, super sized, battered",298.79,4.09,2.62,13.51,0.99,14.78,983.7,73.15,3.63,29.52,0.14,53.41,202.41,11.11,2.66,1.02,3.02,1.1,235.3,0.0375,0.1976,0.000662,0.388,0.003,27.64,3.942,Unhealthy
"Cereal bar frosted, value pack, chocolate drizzled",443.53,31.91,27.51,11.93,4.65,5.44,495.1,1.03,5.89,78.6,14.16,11.98,195.29,32.58,11.48,0.85,2.94,3.75,51.04,0.4921,0.4663,0.003063,3.157,0.0067,17.26,8.773,Unhealthy
"Ice cream butter pecan, premium, with caramel ribbon",266.45,22.11,19.67,11.57,1.65,4.27,86.37,46.3,5.78,36.31,2.58,96.42,240.19,19.28,0.33,0.3,2.69,0.88,80.42,0.0833,0.0878,0.000449,0.318,0.0021,15.63,0.457,Unhealthy
"Chimichanga, classic, fried",277.04,6.53,5.87,12.04,0.75,18.11,557.27,30.08,5.57,24.06,1.31,188.77,153.6,13.45,1.33,0.73,4.58,1.72,239.21,0.015,0.0551,0.00045,0.243,0.0048,44.22,2.119,Unhealthy
"Edamame, dried, stewed",192.87,1.65,0,1.07,8.12,19.08,9.95,0,0.16,26.73,0.41,59.42,310.82,59.71,5.34,0.12,0.25,1.51,120.21,0.0045,0.2303,0,0.149,0.0085,35.16,2.573,Healthy
"Smoothie sweetened mix, liquid, cane sugar",195.88,33.2,32.26,2.2,0,1.39,37.09,0,0.59,42.63,2.24,14.17,17.93,9.9,0.04,0.01,0.59,0.04,9.31,0.0005,0.0037,0,0.009,0.0006,2.17,0.367,Unhealthy
"Cake vanilla frosted, mini, with icing",534.63,31.13,28.11,27.51,0.66,6.51,259.12,55.08,9.44,65.25,0.69,66.26,102.62,14.86,2.55,1.72,7.84,0.72,79.93,0.0311,0.0586,0.000144,1.223,0.0078,27.83,1.282,Unhealthy
"Clams, whole, baked",170.4,0.01,0,10.52,0,18.03,43.57,44.71,0.77,0.9,0.84,8.38,406.29,25.37,1.11,1.27,1.74,1.83,176.27,0.0144,0.2429,0.004533,0.565,0.0024,56.51,5.838,Healthy
"Turkey ground lean, bone-in, poached",159.26,0.3,0,7.22,0,22.62,65.6,56.08,1.96,0.95,0.3,11.72,273.89,20.49,1.11,0.63,1.93,2.36,217.05,0.011,0.503,0.000449,0.459,0.0015,50.77,8.568,Healthy
"Oats steel cut, flaked, soaked",191.21,1.64,0,2.69,2.33,9.95,3.33,0,0.47,31.8,0.75,42.47,122.11,96.87,1.66,0.18,0.77,2.22,276.23,0.0011,0.4077,0,1.457,0.0034,23.61,6.731,Healthy
"Rice crispy treat, fun size, sugar frosted",473.13,31.74,29.64,13.33,3.02,4.79,220.1,0.57,1.62,83.5,1.54,96.19,141.05,31.11,6.99,0.97,2.38,4.93,144.02,0.3344,0.6549,0.002446,3.964,0.0075,11.99,12.117,Unhealthy
"Yogurt plain, strained, fresh",72.58,3.7,0.13,1.5,0,8.71,146.51,13.04,0.81,6.06,0.74,92.86,125.12,9.56,0.01,0.06,0.3,0.72,108.19,0.0738,0.069,0.000531,0.024,0.0009,15.06,0.086,Healthy
"Sesame seeds, shelled, unsalted",535.17,1.14,0,41.21,7.91,24.82,0.43,0,5.99,16.25,0.9,100.4,408.14,308.17,6.93,8.95,20.43,5.35,408.23,0.0005,0.2306,0,17.234,0.0021,22.14,1.573,Healthy
"Frozen custard, layered, with fudge swirl",221.45,19.71,18.05,10.61,0.44,4.14,50.35,30.42,6.27,27.35,2.72,138.09,201.35,23.31,0.37,0.59,3.01,0.77,144.68,0.0983,0.0591,0.000229,0.305,0.0026,24.59,0.483,Unhealthy
"Parsnip, halved, raw",29.92,0.87,0,0.44,2.19,3.43,14.65,0,0.11,3.06,29.95,51.42,380.2,21.53,1.47,0.07,0.03,0.25,57.81,0.1859,0.2217,0,0.588,0.038,21.82,1.202,Healthy
"Burrito bean cheese, classic, with cheese sauce",285.54,4.55,2.8,14.62,1.82,19.99,849.82,58.22,6.56,18.5,4.75,88.14,250.75,20.87,2.41,1.04,5.12,2.82,242.86,0.0418,0.1363,0.001702,0.759,0.0095,32.74,2.963,Unhealthy
"Onion rings, battered, fried salted",304.9,0.78,0.08,20.22,1.4,5.41,509.96,23.79,5.9,25.32,5.93,37.88,437.97,26.17,1.74,1.78,5.78,0.42,53.42,0.0084,0.2416,0.000931,1.009,0.0186,18.22,2.638,Unhealthy
"Fish sticks breaded, supreme, deep fried",364.5,4.12,2.56,18.62,1.14,17.66,759.48,35.36,9.02,31.57,3.56,52.85,189.93,14.78,2.77,1.29,4.07,1.32,143.03,0.0481,0.0712,0.001739,1.32,0.0016,29.98,5.192,Unhealthy
"Cheese sauce, whipped, full fat",503.86,7.82,7.29,47.66,2.93,1.41,991.68,16.7,11.09,17.32,1.83,22.42,72.34,9.31,0.36,5.64,11.31,0.45,54.53,0.0033,0.0404,4.10E-05,3.119,0.0684,9.26,0.958,Unhealthy
"Artichoke, wedged, baked",41,1.09,0,0.4,3.2,2.13,47.12,0,0.07,7.22,47.41,15.75,391.74,19.51,0.7,0.08,0.03,0.39,25.15,0.4001,0.2038,0,1.173,0.0698,14.62,0.69,Healthy
"Chips sweet potato fried, party size, BBQ coated",492.19,3.88,0.37,23.75,1.03,5.25,662.85,0.64,5.31,64.36,14.72,49.42,525.74,22.47,0.91,3.06,5.53,0.91,120.08,0.0068,0.3907,0,1.85,0.0042,20.08,2.229,Unhealthy
"Freekeh, flaked, toasted",245.22,0.61,0,4.5,5.06,11.51,2.41,0,0.87,39.67,0.08,36.22,157.29,109.08,2.36,0.34,1.53,2.13,199.26,0.0004,0.2178,0,1.452,0.0038,14.93,3.087,Healthy
"Ice cream vanilla, premium, sugar cone",216.79,19.99,17.44,10.27,1.32,3.52,79.26,69.87,6.25,27.57,2.63,122.35,193.51,18.57,0.36,0.26,2.31,0.59,142.65,0.088,0.0606,0.000203,0.444,0,22.24,0.442,Unhealthy
"Tomato, florets, roasted",31.1,1.68,0,0.46,1.78,1.77,32.99,0,0.06,4.97,10.04,30.38,257.37,21.52,1.03,0.03,0.05,0.13,58.27,0.3213,0.1802,0,0.175,0.1288,17.43,0.383,Healthy
"Ranch dressing, spreadable, homestyle",553.82,8.9,7.13,42.62,0.18,4.31,1140.42,40.97,13.88,38.25,1.28,25.83,122.44,15.32,0.64,6.38,12.62,0.41,71.43,0.0087,0.0737,7.90E-05,3.309,0.0662,7.86,0.756,Unhealthy
"Snow peas, chopped, grilled",58.78,2.67,0,0.46,1.52,3.26,16.24,0,0.06,10.4,62.09,12.83,204.92,25.17,0.42,0.07,0.02,0.22,18.26,0.1643,0.1135,0,0.582,0.029,23.4,0.565,Healthy
"Chips corn, kettle, BBQ coated",436.67,1.25,0.57,26.07,3.07,4.86,753.82,2.54,6.5,45.65,8.11,26.86,476.66,20.33,1.41,1.43,8.5,1.34,184.16,0.0052,0.3582,0,4.045,0.0014,22.12,1.016,Unhealthy
"Fried zucchini, cornmeal coated, double fried",361.28,1.29,0.33,23.56,2.65,11.42,649.19,48.34,4.97,25.89,7.12,31.92,406.1,29.29,1.4,3.44,8.82,0.9,144.61,0.0066,0.1285,0.000123,2.186,0.0086,29.24,2.448,Unhealthy
"Okra, julienned, steamed",31.91,0.91,0,0.19,2.65,2.72,18.65,0,0.02,4.83,72.89,30.08,321.67,28.82,1.25,0.03,0.01,0.15,38.97,0.0669,0.1747,0,1.682,0.057,13.01,1.006,Healthy
"Swiss chard, diced, sauteed",34.17,1.3,0,0.89,2.84,1.7,34.15,0,0.15,4.84,75.89,156.81,468.21,39.18,1.29,0.22,0.03,0.66,30.44,0.5598,0.1163,0,2.364,0.4626,24.62,1.098,Healthy
"Chicken wing skinless, boneless, grilled",168.85,0.15,0,7.13,0,25.19,78.2,87.14,2.11,0.98,0.46,7.6,282.69,20.64,0.66,0.55,2.24,2.34,235.58,0.012,0.7045,0.000473,0.252,0.0003,62.42,13.401,Healthy
"Frozen pie, regular, with sprinkles",282.76,19.57,15.74,16.44,1.09,2.89,77.33,37.95,9.04,30.81,1.93,148.89,243.13,8.14,0.26,0.61,3.2,0.69,115.94,0.0684,0.0657,0.000238,0.282,0.0027,23.52,0.323,Unhealthy
"Freekeh, cooked, cooked",160.1,0.6,0,1.98,9.56,9.31,4.43,0,0.3,26.26,0.59,36.79,128.54,87.18,2.41,0.15,0.5,2.72,163.46,0.002,0.337,0,0.432,0.0014,11.88,1.317,Healthy
"Chocolate spread, thick, original recipe",624.18,7.29,6.15,56.3,1.33,2.18,945.05,12.37,20.91,27.19,4.75,51.71,118.24,11.04,0.66,5.8,14.83,0.24,38.21,0.0027,0.0452,7.70E-05,3.317,0.0647,14.78,0.714,Unhealthy
"Onion, florets, roasted",47.66,1.49,0,0.34,1.25,2.59,35.77,0,0.08,8.56,30.67,48.16,397.21,18.13,1.31,0.02,0.03,0.34,45.45,0.048,0.1604,0,0.4,0.1065,11.88,1.392,Healthy
"Chips tortilla, extra crispy, flavored",449.81,2.37,0.53,23.45,3.41,7.67,468.9,1.08,7.99,52.02,7.23,27.6,359.83,31.35,0.54,2.21,6.39,0.75,193.81,0.002,0.1592,0,4.73,0.0043,21.14,3.704,Unhealthy
"Corned beef canned, ring, pan fried",249.11,2.24,1.38,19.75,0,11.77,758.19,60.6,8.81,6.07,7.96,33.56,174.89,22.87,2.11,0.88,5.97,2.55,218.49,0.0052,0.1064,0.000775,0.411,0.0005,58.73,5.933,Unhealthy
"Scone, frosted, with icing",481.49,33.26,29.7,28.85,0.79,4.21,264.26,50.19,8.96,51.25,0.36,68.97,130.53,20.35,2.77,2.47,7.19,0.99,106.47,0.0377,0.056,0.000118,0.603,0.0141,27.43,1.246,Unhealthy
"Bulgur wheat, cooked, steamed",179.38,2.06,0,2.7,6.59,5.3,2.56,0,0.52,33.47,0.91,44.55,127.66,54.73,2.25,0.41,0.56,2.87,271.98,0.0005,0.3098,0,1.013,0.0041,11.07,2.05,Healthy
"Chicken liver, bone-in, steamed",151.39,0.1,0,3.95,0,28.57,76.07,62.47,1.06,0.39,0.01,13.99,296.05,28.86,0.6,0.22,1.16,1.13,248.74,0.0059,0.7377,0.000813,0.392,0.0003,68.23,7.766,Healthy
"Loaded nachos, regular, breaded",257.23,4.03,3.55,14.79,1.59,13.22,875.04,39.29,4.83,17.81,0.22,199.77,251.31,14.36,1.68,1.04,4.97,2.87,214.83,0.0333,0.1097,0.000552,0.585,0.0023,32.66,5.563,Unhealthy
"Ice cream mint chip, swirled, with chocolate chips",299.28,23.14,20.55,16.6,0.06,3.23,72.18,65.19,9.94,34.24,2.41,129.84,109.75,10.6,0.35,0.88,3.63,0.77,87.38,0.0712,0.0864,0.000233,0.27,0.0002,15.68,0.294,Unhealthy
"Radicchio, shredded, microwaved",28.72,0.66,0,0.32,1.73,3.39,45.07,0,0.06,3.07,49.11,39.21,540.67,45.28,1.38,0.07,0.03,0.64,37.61,0.524,0.1092,0,1.611,0.2147,10.23,0.745,Healthy
"Brownie, thick, with icing",420.4,36.03,33.04,18.6,0.94,5.66,383.25,96.05,4.87,57.59,0.36,66.34,132.45,8.84,1.21,0.67,5.18,0.5,142.1,0.0168,0.0813,0.000231,1.364,0.01,28.33,2.076,Unhealthy
"Turnip greens, torn, braised",25.64,1.16,0,0.68,1.78,1.55,66.6,0,0.09,3.33,41.74,153.34,360.16,52.67,2.95,0.11,0.07,0.24,57.03,0.4016,0.0936,0,1.239,0.5681,18.51,0.575,Healthy
"Frozen pie, super premium, with chocolate chips",326.42,26.56,22.71,18.58,1.69,3.37,84.26,72.44,9.77,36.43,2.01,82.27,239.74,13.29,0.37,0.86,3.52,0.83,88.42,0.118,0.0738,0.000248,0.24,0.0005,20.02,0.126,Unhealthy
"Pound cake, regular, plain sweetened",442.9,24.05,21.15,23.74,1.53,4.18,336.91,63.53,10.47,53.13,0.65,51.28,90.53,7.55,0.64,1.61,5.45,0.35,149.69,0.0488,0.0164,0.000166,2.021,0.0128,11.5,0.823,Unhealthy
"Soda root beer concentrate, powder, honey sweetened",215.49,45.06,43.46,1.09,0,0.43,32.47,0,0.41,50.99,0.14,6.18,34.92,6.52,0.36,0.02,0.08,0.07,28.98,0.0006,0.019,0,0.09,0.0006,1.51,0.018,Unhealthy
"Cabbage, whole, microwaved",54.17,2.17,0,0.33,2.51,2,29.58,0,0.08,10.8,37.32,54.96,381.35,18.92,0.47,0.06,0.02,0.21,44.41,0.2981,0.1368,0,1.679,0.1076,21.96,1.302,Healthy
"Pizza cheese, regular, breaded",375.09,7.29,5.06,23.61,0.67,16.16,946.5,75.72,6.97,24.49,3.36,169.95,148.37,29.06,1.83,0.96,7.82,2,205.64,0.0398,0.0694,0.000372,1.731,0.0019,44.8,3.748,Unhealthy
"Honeydew, whole, dehydrated",52.71,6.42,0,0.11,2.29,0.81,1.31,0,0.02,12.12,46.75,34.22,209.93,18.18,0.4,0,0.01,0.08,14.64,0.0558,0.1471,0,0.765,0.0025,3.77,0.226,Healthy
"Granola bar yogurt coated, regular, iced",386.22,43.19,38.91,5.98,4.07,4.1,492.09,5,1.91,79,2.51,66.3,123.26,26.02,14.16,0.54,1.36,2.98,162.84,0.4893,0.6166,0.001873,3.639,0.009,8.17,10.542,Unhealthy
"Fried calamari, crispy, deep fried",377.39,0.47,0.23,23.07,1.75,8.94,546.79,22.03,7.39,33.5,9.1,13.11,442.86,31.21,0.87,2.53,8.86,0.81,66.66,0.0089,0.1672,0.000983,0.68,0.0149,11.62,1.678,Unhealthy
"Chips potato plain, crunchy, heavily salted",523.47,0.17,0,31.99,4.12,6.98,738.57,6.45,5.92,51.91,9.97,11.27,466.74,28.88,0.99,3.45,11.97,0.7,124.83,0.0081,0.3295,0,4.495,0.0055,20.21,3.771,Unhealthy
"Chicken breast, whole, braised",193.06,0.13,0,7.66,0,30.34,53.22,69.7,2.18,0.69,0.34,13.29,234.51,29.66,1.21,0.41,2.07,2.49,175.19,0.0147,0.3129,0.000687,0.147,0.0044,87.87,5.021,Healthy
"Adzuki beans, sprouted, cooked",206.11,1.88,0,2.23,5.44,19.1,7.87,0,0.4,27.41,1.33,60.06,370.55,57.67,5.23,0.61,0.33,2.54,208.05,0.0027,0.1743,0,0.973,0.0072,23.03,1.309,Healthy
"Pinto beans, split, canned drained",190.95,0.78,0,0.95,9.09,23.32,3.22,0,0.1,22.28,0.68,64.12,295.01,76,5.12,0.23,0.17,2.57,293.72,0.0028,0.3548,0,0.808,0.009,29.42,1.67,Healthy
"Quinoa, flaked, steamed",196.87,1.14,0,4.31,2.18,13.23,7.13,0,0.91,26.29,0.14,41.33,117.52,87.87,1.79,0.46,1.4,2.58,109.46,0.0001,0.1801,0,0.359,0.0039,26.86,6.811,Healthy
"Breakfast sausage, bulk, smoked",278.13,1.06,0.13,22.33,0,15.94,754.17,114.45,9.33,3.35,7.07,22.24,245.59,15.45,0.53,0.52,8.77,1.73,109.45,0.0026,0.1031,0.000785,0.5,0,62.12,4.983,Unhealthy
"Lentils red, dried, simmered",183.42,2.3,0,1.62,14.89,16.84,5.6,0,0.19,25.37,4.13,24.69,518.54,41.24,6.71,0.46,0.27,1.81,127.51,0.0028,0.2547,0,0.386,0.007,46.62,2.18,Healthy
"Ice cream butter pecan, layered, with nuts",314.56,28.57,23.23,16.4,1.37,4,85.86,69.96,9.7,37.74,1.11,102.22,178.99,20.97,0.12,0.62,3.15,0.97,83.41,0.0835,0.0614,0.000362,0.245,0.001,26.45,0.242,Unhealthy
"Honey mustard sauce, regular, homestyle",316.7,14.72,12.79,21.02,2.48,3.86,492.37,43.72,3.35,28.02,0.82,20.73,195.92,17.73,0.62,1.67,4.23,0.26,47.52,0.0091,0.0523,6.10E-05,8.6,0.0981,12.98,0.495,Unhealthy
"Chia seeds, chopped, unsalted",635.59,1.09,0,56.03,11.31,19.17,0.52,0,7.77,13.66,0.69,156.5,712.25,340.4,4.2,13.91,17.76,5.45,492.57,0.0025,0.1699,0,23.457,0.0005,50.73,3.774,Healthy
"Ice cream bar chocolate, dipped, with sprinkles",308.08,23.19,20.58,16.32,0.84,2.45,79.62,67.84,8.98,37.85,2.23,120.86,143.44,11.25,0.42,0.95,3.06,0.44,72.1,0.0819,0.0958,0.000275,0.242,0.0002,16.16,0.174,Unhealthy
"Snack mix seasoned, kettle, heavily salted",546.5,3.82,1.06,37.38,1.81,4.44,612.47,5.16,8.89,48.08,2.37,24.37,437.65,39.62,1.55,3.73,14.33,0.89,56.75,0.0065,0.1113,0,3.752,0.0044,16.47,4.865,Unhealthy
"Cotton candy, assorted, caramel filled",540.52,70.34,61.4,20.32,0.86,4.97,131.63,3.05,9.93,84.44,0.48,70.22,280.01,41.71,0.44,0.44,5.39,1.24,91.78,0.0079,0.0867,0.000199,0.815,0.005,8.94,0.815,Unhealthy
"Carrots, halved, baked",33.63,2.04,0,0.27,3.27,0.94,16.39,0,0.03,6.86,50.41,29.5,311.71,29.3,0.51,0.03,0.03,0.5,29.89,0.4607,0.0838,0,0.309,0.15,15.49,1.205,Healthy
"Pomegranate, with skin, dehydrated",92.57,11,0,0.65,3.8,0.62,4.35,0,0.08,21.06,45.55,36.52,288.82,5.49,0.45,0.07,0.01,0.16,27.05,0.0251,0.0837,0,0.295,0.0028,3.63,0.343,Healthy
"Cookie sugar, double layered, with powdered sugar",516.12,26.26,24.52,29.08,1.5,6.47,339.32,24.79,10.49,57.13,0.92,48.22,78.24,19.72,1.85,2.43,7.22,0.29,58.49,0.0277,0.0569,0.000298,2.756,0.0103,36.52,2.73,Unhealthy
"Fried ravioli, battered, shallow fried",340.01,2.16,0.34,15.45,1.26,10,691.07,49.71,3.47,40.24,3.28,34.36,341.23,22.15,1.83,1.05,4.29,0.8,90.22,0.0093,0.2857,0.000303,1.219,0.0144,17.95,1.309,Unhealthy
"Pistachios, whole, oil roasted",635.03,2.94,0,57.03,11.01,16.49,0.86,0,3.71,13.95,1.73,211.22,665.56,258.65,4.21,8.49,24.68,2.73,504.14,0.0019,0.2007,0,7.145,0.0039,50.78,7.123,Healthy
"Sweet potato, diced, microwaved",42.47,1.31,0,0.35,3.32,3.42,26.2,0,0.08,6.41,7.7,59.86,186,24.17,0.92,0.02,0.01,0.21,16.56,0.1015,0.2476,0,1.626,0.0692,13.84,0.975,Healthy
"Corned beef canned, chunk, heat and serve",383.65,1.1,0.07,34.69,0,14.55,786.81,111.3,10.64,3.31,1.11,40,252.33,19.05,0.57,2.72,13.01,2.02,152.43,0.0027,0.1444,0.000731,0.166,0.001,47.41,2.049,Unhealthy
"Beet greens, shredded, sauteed",47.7,2.66,0,0.78,1.64,3.27,60.85,0,0.11,6.9,41.65,32.58,256.53,54.7,1.88,0.18,0.09,0.36,41.18,0.7624,0.1756,0,2.198,0.8207,23.76,0.44,Healthy
